"","7010101","7010102","7010103","7010104","7010105","7010106","7010107","7010108","7010109","7010110","7010111","7010112","7010113","7010114","7010115","7010116","7010151","7010152"
"7010101",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7010102",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"7010103",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010104",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7010105",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010106",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7010107",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7010109",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"7010110",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010111",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010112",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"7010113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7010114",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010115",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7010116",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"7010151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"7010152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
