"","19030201","19030202","19030203","19030204","19030205","19030206","19030207","19030208","19030209","19030210","19030211","19030212","19030213","19030214","19030215","19030216","19030217"
"19030201",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19030202",3,2,3,3,3,2,2,3,3,3,3,2,1,3,3,1,1
"19030203",1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
"19030204",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19030205",2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1
"19030206",2,3,3,3,3,2,2,3,2,1,2,1,1,1,1,1,1
"19030207",3,3,2,2,1,2,2,3,2,1,2,1,1,1,1,1,1
"19030208",1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"19030209",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"19030210",1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
"19030211",2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1
"19030212",1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"19030213",1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1
"19030214",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19030215",2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1
"19030216",1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"19030217",1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1
